元の城名,URL,城名,別名,築城年,城主,場所,Latitude,Longitude
岩上城,https://gosenzo.net/yamajiro/2024/02/04/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b2%a9%e4%b8%8a%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e8%90%bd%e5%90%88%e5%8d%973%e4%b8%81%e7%9b%ae%e3%80%91/,岩上城,無し,不明　戦国時代か,不明,広島県広島市安佐北区落合南3丁目,34.470178,132.514068
掛山城,https://gosenzo.net/yamajiro/2024/02/22/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%8e%9b%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e4%b8%ad%e9%87%8e%e3%80%91/,掛山城,無し,戦国時代か,阿曽沼氏一族,広島市安芸区中野東,34.395539,132.582928
丸山城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%b8%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e7%80%ac%e9%87%8e%e5%8d%97%e7%94%ba%e3%80%91/,丸山城,無し,戦国時代か,阿曽沼氏関連か,広島県広島市安芸区瀬野南町,34.416721,132.593368
檜木城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%aa%9c%e6%9c%a8%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e7%80%ac%e9%87%8e%e5%8d%97%e3%80%91/,檜木城,無し,,阿曽沼興郷、阪山三四郎,広島市安芸区瀬野南,34.419800,132.603543
槻木城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%a7%bb%e6%9c%a8%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e4%b8%8a%e7%80%ac%e9%87%8e%e3%80%91/,槻木城（つぎきじょう）,無し,戦国時代か,不明（阿曽沼氏関連か）,広島県広島市安芸区上瀬野,34.418931,132.623473
伊屋城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%bc%8a%e5%b1%8b%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e4%b8%8a%e7%80%ac%e9%87%8e%e5%8d%972%e4%b8%81%e7%9b%ae%e3%80%91/,伊屋城,無し,戦国時代か,不明,広島市安芸区上瀬野南2丁目,34.424687,132.624563
伊屋支城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%bc%8a%e5%b1%8b%e6%94%af%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e4%b8%8a%e7%80%ac%e9%87%8e%e5%8d%972%e4%b8%81%e7%9b%ae/,伊屋支城,無し,戦国時代か,不明,広島県広島市安芸区上瀬野南2丁目,34.427835,132.625963
隠居城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%9a%a0%e5%b1%85%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e7%80%ac%e9%87%8e1%e4%b8%81%e7%9b%ae%e3%80%91/,隠居城,無し,戦国時代か,不明（阿曽沼氏縁の人物か）,広島県広島市安芸区瀬野町1丁目）,34.427428,132.613194
三ツ城,https://gosenzo.net/yamajiro/2024/02/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%89%e3%83%84%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e7%80%ac%e9%87%8e%e8%a5%bf4%e4%b8%81%e7%9b%ae%e3%80%91/,三ツ城,無し,室町時代,不明、阿曽沼氏の関係した人物,広島県広島市安芸区瀬野西4丁目,34.431010,132.591690
枕城,https://gosenzo.net/yamajiro/2024/02/25/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9e%95%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e4%b8%ad%e9%87%8e%e3%80%91/,枕城,無し,戦国時代か,不明（阿曽沼氏属城）,広島県広島市安芸区中野,34.404772,132.562190
陣丸城,https://gosenzo.net/yamajiro/2024/02/25/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%99%a3%e4%b8%b8%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e8%8a%b8%e5%8c%ba%e4%b8%ad%e9%87%8e%e3%80%91/,陣丸城,陣ヶ丸城,戦国時代か,不明（阿曽沼氏の属城）,広島県広島市安芸区中野,34.405544,132.574285
五日市城,https://gosenzo.net/yamajiro/2024/03/17/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%ba%94%e6%97%a5%e5%b8%82%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e4%bd%90%e4%bc%af%e5%8c%ba%e4%ba%94%e6%97%a5%e5%b8%824%e4%b8%81%e7%9b%ae%e3%80%91/,五日市城,幸崎城、光明寺城,1456年頃,宍戸治部少輔　宍戸備前守？,広島県広島市佐伯区五日市4丁目,34.367954,132.357625
鈴ヶ峰城,https://gosenzo.net/yamajiro/2024/03/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%88%b4%e3%83%b6%e5%b3%b0%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e8%a5%bf%e5%8c%ba%e9%88%b4%e3%83%b6%e5%b3%b0%ef%bd%9e%e4%bd%90%e4%bc%af%e5%8c%ba/,鈴ヶ峰城,鈴岸山城,戦国時代か,鎮木某か？,広島県広島市西区鈴ヶ峰～美鈴が丘南,34.383538,132.385507
鬼ヵ城,https://gosenzo.net/yamajiro/2024/03/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%ac%bc%e3%83%b5%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e8%a5%bf%e5%8c%ba%e7%94%b0%e6%96%b9%ef%bd%9e%e4%bd%90%e4%bc%af%e5%8c%ba%e7%be%8e%e9%88%b4/,鬼ヶ城,大根城,戦国時代か,大根八郎,広島県広島市西区田方～佐伯区美鈴が丘東,34.391944,132.392271
柚木城,https://gosenzo.net/yamajiro/2024/03/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9f%9a%e6%9c%a8%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e8%a5%bf%e5%8c%ba%e5%b7%b1%e6%96%90%e7%94%ba%e3%80%91/,柚木城（ゆのきじょう）,京良木城,戦国時代か,飯田式部越中守（大内氏家臣）,広島県広島市西区己斐町,34.406063,132.405149
立石城,https://gosenzo.net/yamajiro/2024/03/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%ab%8b%e7%9f%b3%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e8%a5%bf%e5%8c%ba%e5%b7%b1%e6%96%90%e4%b8%8a%e3%80%91/,立石城,釈迦ヶ岳（嶽）城　大茶臼山城,戦国時代か,己斐氏？　遠藤美作守,広島県広島市西区己斐上,34.423362,132.414832
観音寺山城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%a6%b3%e9%9f%b3%e5%af%ba%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e4%b8%8b/,観音寺山城,観音城,戦国時代か,熊谷氏縁の人物,広島県広島市安佐北区可部町下町屋,34.537102,132.516094
宇祢能城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%ae%87%e7%a5%a2%e8%83%bd%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e4%b8%8b%e7%94%ba/,宇祢能城（うねのじょう）,宇祢能上城,戦国時代か,熊谷氏縁の人物,広島県広島市安佐北区可部町下町屋,34.538859,132.518939
山根城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b1%b1%e6%a0%b9%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e4%b8%8b%e7%94%ba%e5%b1%8b/,山根城,無し,戦国時代か,荒川氏（日本城郭大系に記載）,広島市安佐北区可部町下町屋,34.542878,132.522954
門田城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%96%80%e7%94%b0%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e4%b8%8b%e7%94%ba%e5%b1%8b/,門田城（もんでんじょう）,門田山城,戦国時代か,熊谷氏縁の人物,広島市安佐北区可部町下町屋,34.545208,132.524660
トンガ坊城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e3%83%88%e3%83%b3%e3%82%ac%e5%9d%8a%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e4%b8%8b/,トンガ坊城,無し,戦国時代か（弥生時代の遺構もある）,,広島県広島市安佐北区可部町下町屋,34.548961,132.531786
燧岩城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%87%a7%e5%b2%a9%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e4%b8%8a%e7%94%ba%e5%b1%8b/,燧岩城（ひうちいわじょう）,燧岩山城、火打岩城,戦国時代か,熊谷氏縁の人物,広島市安佐北区可部町上町屋,34.557736,132.541816
寺山城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%af%ba%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ba%83%e5%b3%b6%e5%b8%82%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%8f%af%e9%83%a8%e7%94%ba%e4%b8%8a%e5%8e%9f%e3%80%91/,寺山城,屏風山城,『日本城郭大系』によれば熊谷直継による築城とあるので鎌倉～室町時代になる。,熊谷氏縁の人物,広島県広島市安佐北区可部町上原,34.515870,132.518274
市場城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b8%82%e5%a0%b4%e5%9f%8e%e3%80%90%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%ae%89%e4%bd%90%e7%94%ba%e9%a3%af%e5%ae%a4%e3%80%91/,市場城,市場ノ城,戦国時代か,本木与一,広島県安佐北区安佐町飯室,34.558651,132.449807
恵下城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%81%b5%e4%b8%8b%e5%9f%8e%e3%80%90%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%ae%89%e4%bd%90%e7%94%ba%e9%a3%af%e5%ae%a4%e3%80%91/,恵下城,狼山城,南北朝前半から戦国時代か,遠藤氏、三須氏,広島県広島市安佐北区安佐町飯室,34.567386,132.451101
市山城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b8%82%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%ae%89%e4%bd%90%e7%94%ba%e9%88%b4%e5%bc%b5%e3%80%91/,市山城,無し,戦国時代か,不明（横山氏か）,広島県広島市安佐北区安佐町鈴張,34.581278,132.453670
下西山城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%8b%e8%a5%bf%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%ae%89%e4%bd%90%e7%94%ba%e9%88%b4%e5%bc%b5%e3%80%91/,下西山城,下鏡城,戦国時代か,不明,広島県広島市安佐北区安佐町鈴張,34.585373,132.454848
上西山城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%8a%e8%a5%bf%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%ae%89%e4%bd%90%e7%94%ba%e9%88%b4%e5%bc%b5%e3%80%91/,上西山城,上山西城,戦国時代か,不明,広島県広島市安佐北区安佐町鈴張,34.587712,132.458976
曲山城,https://gosenzo.net/yamajiro/2024/04/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9b%b2%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%ae%89%e4%bd%90%e7%94%ba%e9%88%b4%e5%bc%b5%e3%80%91/,曲山城,曲城,戦国時代か,不明,広島県広島市安佐北区安佐町鈴張,34.591284,132.459879
国田中山城,https://gosenzo.net/yamajiro/2024/04/21/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%9b%bd%e7%94%b0%e4%b8%ad%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%ae%89%e4%bd%90%e7%94%ba%e9%88%b4%e5%bc%b5%e3%80%91/,国田中山城,無し,戦国時代か,不明,広島県広島市安佐北区安佐町鈴張,34.585442,132.460768
関山城,https://gosenzo.net/yamajiro/2024/04/21/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%96%a2%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%ae%89%e4%bd%90%e7%94%ba%e9%88%b4%e5%bc%b5%e3%80%91/,関山城,無し,戦国時代か,横山眞高,広島県広島市安佐北区安佐町鈴張,34.587875,132.474127
金ノ口城,https://gosenzo.net/yamajiro/2024/04/21/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%87%91%e3%83%8e%e5%8f%a3%e5%9f%8e%e3%80%90%e5%ae%89%e4%bd%90%e5%8c%97%e5%8c%ba%e5%ae%89%e4%bd%90%e7%94%ba%e9%88%b4%e5%bc%b5%e3%80%91/,金ノ口城,無し,戦国時代か,不明,広島県広島市安佐北区安佐町鈴張,34.592652,132.485049
高山城,https://gosenzo.net/yamajiro/2021/05/16/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%ab%98%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e5%8e%9f%e5%b8%82%e6%9c%ac%e9%83%b7%e7%94%ba%e3%80%91/,高山城,妻高山城、古高山城、道谷山城,建永元年（1206年）か。,小早川氏,広島県三原市本郷町,34.419364,132.983904
新高山城,https://gosenzo.net/yamajiro/2021/05/16/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%96%b0%e9%ab%98%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e5%8e%9f%e5%b8%82%e6%9c%ac%e9%83%b7%e7%94%ba%e3%80%91/,新高山城,,天文21年（1552）に小早川隆景が隣の高山城から移動。ただし小早川雅平が砦として築城したともある。,小早川隆景,広島県三原市本郷町,34.419958,132.975543
木村城,https://gosenzo.net/yamajiro/2021/05/22/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9c%a8%e6%9d%91%e5%9f%8e%e3%80%90%e7%ab%b9%e5%8e%9f%e5%b8%82%e6%96%b0%e5%ba%84%e7%94%ba%e3%80%91/,木村城,"新庄城,篠原城,木村山城",正嘉2年（1258）,竹原小早川氏,広島県竹原市新庄町,34.381671,132.892827
賀儀城,https://gosenzo.net/yamajiro/2021/05/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%b3%80%e5%84%80%e5%9f%8e%e3%80%90%e7%ab%b9%e5%8e%9f%e5%b8%82%e5%bf%a0%e6%b5%b7%e5%ba%8a%e6%b5%a6%e3%80%91/,賀儀城（かぎじょう）,鍵城,戦国時代か,浦氏,広島県竹原市忠海床浦,34.332980,132.987890
梨羽城,https://gosenzo.net/yamajiro/2021/05/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%a2%a8%e7%be%bd%e5%9f%8e%e3%80%90%e4%b8%89%e5%8e%9f%e5%b8%82%e6%9c%ac%e9%83%b7%e7%94%ba%e4%b8%8a%e5%8c%97%e6%96%b9%e3%80%91/,梨羽城,畑木山城,不明,梨羽氏,広島県三原市本郷町上北方,34.414912,132.948043
三原城,https://gosenzo.net/yamajiro/2021/05/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%89%e5%8e%9f%e5%9f%8e%e3%80%90%e4%b8%89%e5%8e%9f%e5%b8%82%e9%a4%a8%e7%94%ba%e3%80%91/,三原城,"浮城,玉壺城",開始,小早川氏、福島氏城代、浅野氏城代,広島県三原市館町,34.401279,133.082584
桜山城,https://gosenzo.net/yamajiro/2022/07/31/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%a1%9c%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e5%8e%9f%e5%b8%82%e6%a1%9c%e5%b1%b1%e7%94%ba%e3%80%91/,桜山城,三原城甲の丸,文応から文永(1260〜74)頃に山名氏正の居城であったと云われる,山名氏、小早川氏？,広島県三原市桜山町,34.406863,133.085112
頼兼城,https://gosenzo.net/yamajiro/2022/08/06/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%a0%bc%e5%85%bc%e5%9f%8e%e3%80%90%e4%b8%89%e5%8e%9f%e5%b8%82%e9%a0%bc%e5%85%bc%e7%94%ba%e3%80%91/,頼兼城,無し,不明,岡崎十郎左衛門頼兼,広島県三原市頼兼町,34.399373,133.057219
高木山城,https://gosenzo.net/yamajiro/2022/08/06/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%ab%98%e6%9c%a8%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e5%8e%9f%e5%b8%82%e6%9c%ac%e9%83%b7%e7%94%ba%e4%b8%8b%e5%8c%97%e6%96%b9%e3%80%91/,高木山城,沼田城,不明,沼田次郎、内藤実豊,広島県三原市本郷町下北方,34.406272,132.970464
福山城,https://gosenzo.net/yamajiro/2021/05/24/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%a6%8f%e5%b1%b1%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e4%b8%b8%e3%81%ae%e5%86%85%e3%80%91/,福山城,久松城、葦陽城,1622年,水野氏、松平忠雅、阿部氏,広島県福山市丸の内,34.491025,133.361116
桜山城,https://gosenzo.net/yamajiro/2022/05/03/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%a1%9c%e5%b1%b1%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e6%96%b0%e5%b8%82%e7%94%ba%e5%a4%a7%e5%ad%97%e5%ae%ae%e5%86%85%e3%80%91/,桜山城,一宮城,鎌倉時代に桜山慈俊によって築かれたと云われる。,桜山氏,広島県福山市新市町大字宮内,34.566351,133.270499
亀寿山城,https://gosenzo.net/yamajiro/2022/05/03/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%ba%80%e5%af%bf%e5%b1%b1%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e6%96%b0%e5%b8%82%e7%94%ba%e5%a4%a7%e5%ad%97%e6%96%b0%e5%b8%82%e3%80%91/,亀寿山城,亀地山城、小野宮城,鎌倉時代か,宮氏,広島県福山市新市町大字新市,34.560393,133.266971
相方城,https://gosenzo.net/yamajiro/2022/05/03/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%9b%b8%e6%96%b9%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e6%96%b0%e5%b8%82%e7%94%ba%e5%a4%a7%e5%ad%97%e7%9b%b8%e6%96%b9%e3%80%91/,相方城,佐賀田城、鬼ヶ滝加山城,天正年間(1573〜92)初期に有地若狭守元盛によって築かれたと云われる,有地氏,広島県福山市新市町大字相方,34.547804,133.264576
手城山城,https://gosenzo.net/yamajiro/2022/05/03/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%89%8b%e5%9f%8e%e5%b1%b1%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e6%9d%b1%e6%89%8b%e5%9f%8e%e7%94%ba%e3%80%91/,手城山城,天神山城、手嶋の城,不明,小早川氏一族・渡辺越中守兼・茂野五郎入道盛信・倉田左近五郎盛久、倉田孫次郎・藤井大郎左衛門,広島県福山市東手城町2丁目,34.480771,133.406859
枝広城,https://gosenzo.net/yamajiro/2022/05/03/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9e%9d%e5%ba%83%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e5%a4%a7%e9%96%80%e7%94%ba%e6%9d%b1%e8%b0%b7%e3%80%91/,枝広城,明智山城？,天文11（1542）から15年（1546）頃か,岡志摩守景勝、河野刑部光重,広島県福山市大門町東谷,34.504123,133.439065
龍王山城,https://gosenzo.net/yamajiro/2022/05/03/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%be%8d%e7%8e%8b%e5%b1%b1%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e5%b9%95%e5%b1%b1%e5%8f%b0%ef%bc%93%e4%b8%81%e7%9b%ae%e3%80%91/,龍王山城,無し,天文年間か,不明,広島県福山市幕山台３丁目（龍王神社(龍王社)展望台）,34.506504,133.440247
近江城,https://gosenzo.net/yamajiro/2022/05/04/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%bf%91%e6%b1%9f%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e9%a7%85%e5%ae%b6%e7%94%ba%e5%a4%a7%e5%ad%97%e4%b8%8a%e5%b1%b1%e5%ae%88%e3%80%91/,近江城,無し,南北朝時代,光成氏,広島県福山市駅家町大字上山守,34.529485,133.322262
神島城,https://gosenzo.net/yamajiro/2022/05/04/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%a5%9e%e5%b3%b6%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e7%a5%9e%e5%b3%b6%e7%94%ba%e3%80%91/,神島城（かしまじょう）,無し,不明,久保兵部、佐波氏、名倉氏らも関係を指摘される、槇木島昭光が一番有名。,広島県福山市神島町,34.485530,133.341528
佐波城,https://gosenzo.net/yamajiro/2022/05/04/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%bd%90%e6%b3%a2%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e4%bd%90%e6%b3%a2%e7%94%ba%e3%80%91/,佐波城,無し,不明,"佐波越中守（備後古城記では佐波越後守景房とある）,名倉仲春（備後古城記では名倉雅樂とある）",広島県福山市佐波町,34.477554,133.343521
中山城,https://gosenzo.net/yamajiro/2022/05/04/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%ad%e5%b1%b1%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e8%8d%89%e6%88%b8%e7%94%ba%e4%b8%ad%e5%b1%b1%e3%80%91/,中山城,無し,不明,渡辺氏,広島県福山市草戸町中山,34.470995,133.353178
鞆城,https://gosenzo.net/yamajiro/2022/05/08/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%9e%86%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e9%9e%86%e7%94%ba%e3%80%91/,鞆城,無し,天正4年(1576)毛利氏によって築かれたと云われる,毛利氏が足利義昭の為に築く、福島氏（城代は大崎玄蕃）、水野氏（城代は荻野新左衛門重富）,広島県福山市鞆町,34.384338,133.381422
大可城,https://gosenzo.net/yamajiro/2022/05/08/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%a4%a7%e5%8f%af%e5%b3%b6%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e9%9e%86%e7%94%ba%e5%8f%a4%e5%9f%8e%e8%b7%a1%e3%80%91/,大可島城（おおがしまじょう）,無し,康永元年・興国3年(1342)岡部出羽守によって築かれたと云われる,岡部出羽守、桑原氏、足利直冬、村上亮康,広島県福山市鞆町古城跡,34.381764,133.383442
遍照寺山城,https://gosenzo.net/yamajiro/2022/05/08/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%81%8d%e7%85%a7%e5%af%ba%e5%b1%b1%e5%9f%8e%e3%80%90%e7%a6%8f%e5%b1%b1%e5%b8%82%e7%a5%9e%e8%be%ba%e7%94%ba%e5%ad%97%e8%a5%bf%e4%b8%ad%e6%9d%a1%e3%80%91/,遍照寺山城,今大山城,不明,日本城郭体系によれば城主は安原民部小輔とあるが、宮上野介実信の城だと思われるので代々宮氏の城か,広島県福山市神辺町字西中条,34.576546,133.360701
